GENE             CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P
FHDC1              4  153857265  153900848      8       4  1740000      -0.3435      0.63439
TRIM2              4  154073650  154260474      2       1  1740000       2.1345     0.016399
MND1               4  154265801  154336247      1       1  1740000       1.2841      0.09955
KIAA0922           4  154387498  154558760     15      10  1740000     -0.25363      0.60011
TLR2               4  154605404  154627243      9       6  1740000    0.0086341      0.49656
RNF175             4  154631312  154681387     14       9  1740000     -0.13459      0.55353
SFRP2              4  154701742  154710228      2       1  1740000     -0.49917      0.69117
DCHS2              4  155155527  155412930     39      21  1740000      0.05265      0.47901
PLRG1              4  155456149  155471585      2       1  1740000      0.41024      0.34082
FGB                4  155484132  155493915      6       3  1740000     -0.58538      0.72085
FGA                4  155504280  155511897      3       2  1740000     -0.38263        0.649
FGG                4  155525286  155533902      5       3  1740000      -1.0704      0.85777
LRAT               4  155665163  155674270      1       1  1740000      -0.2801       0.6103
RBM46              4  155702424  155749965      1       1  1740000       1.4808      0.06933
NPY2R              4  156094924  156138248      3       2  1740000     -0.33569      0.63145
MAP9               4  156263810  156298122     11       7  1740000      -2.0838      0.98141
GUCY1A3            4  156587862  156658214      4       2  1740000      -1.1058       0.8656
ASIC5              4  156750881  156787425      3       2  1740000       1.3751     0.084551
TDO2               4  156824845  156841558      2       1  1740000     -0.24564      0.59702
PDGFC              4  157682763  157892546      4       2  1740000       2.6362    0.0041918
GRIA2              4  158141736  158287227      1       1  1740000     -0.79916       0.7879
FAM198B            4  159045732  159094202      4       2  1740000      -1.2487      0.89411
TMEM144            4  159122749  159176439      2       1  1740000     -0.11109      0.54423
RXFP1              4  159442866  159574524      3       2  1740000     -0.60752      0.72825
C4ORF46            4  159587827  159593407      1       1  1740000     0.088348       0.4648
ETFDH              4  159593277  159629842      5       3  1740000      0.55071      0.29091
PPID               4  159630279  159644552      5       3  1740000      0.55577      0.28918
FNIP2              4  159690182  159829202     14       9  1740000      0.18481      0.42669
C4ORF45            4  159814684  159956333      9       6  1740000     -0.72308      0.76519
RAPGEF2            4  160025224  160281314      2       1  1740000    -0.083742      0.53337
FSTL5              4  162305044  163085186     14      10  1740000    -0.048372      0.51929
NAF1               4  164047860  164088073      7       4  1740000     -0.22265      0.58809
NPY1R              4  164245116  164265984      3       2  1740000     -0.83313      0.79761
TKTL2              4  164392245  164395047      2       1  1740000      -2.6875       0.9964
TMA16              4  164415673  164441691      4       2  1740000      -1.0587      0.85512
MARCH1             4  164445450  165305093     11       8  1740000       1.6004     0.054757
TRIM61             4  165875598  165898818      4       2  1740000      0.18483      0.42668
FAM218A            4  165878100  165880273      3       2  1740000      0.62016      0.26758
TRIM60             4  165953151  165962896      4       2  1740000     -0.31687      0.62433
TMEM192            4  165997230  166034024      1       1  1740000       1.0749       0.1412
MSMO1              4  166248818  166264316      2       1  1740000      -1.7029      0.95571
CPE                4  166300097  166419482      3       2  1740000      0.24666      0.40258
TLL1               4  166794390  167026330      6       4  1740000     -0.49926       0.6912
SPOCK3             4  167654535  168155741      8       4  1740000     -0.99932      0.84118
ANXA10             4  169013688  169108893      3       2  1740000     -0.73098       0.7676
DDX60              4  169137442  169239958     11       6  1740000      0.37353      0.35438
DDX60L             4  169277886  169401665     16      10  1740000      -1.6299      0.94844
PALLD              4  169418215  169849608     17      10  1740000      -1.9819      0.97626
CBR4               4  169815774  169931468      5       3  1740000      0.17356      0.43111
SH3RF1             4  170015407  170192249      4       2  1740000     0.097648      0.46111
NEK1               4  170314421  170533778      7       5  1740000     -0.99561      0.84028
CLCN3              4  170541672  170644338      4       2  1740000     -0.90858      0.81821
C4ORF27            4  170650619  170679093      3       2  1740000     -0.81032      0.79112
AADAT              4  170981373  171012823      2       1  1740000       1.8257     0.033948
GALNTL6            4  172734575  173961559     11       7  1740000     -0.59746       0.7249
GALNT7             4  174089904  174245118      3       2  1740000     -0.33887      0.63264
HAND2              4  174447652  174451378      1       1  1740000        0.226       0.4106
FBXO8              4  175157809  175205415      2       1  1740000      0.98985      0.16112
CEP44              4  175204828  175255506      4       2  1740000     -0.87594      0.80947
HPGD               4  175411328  175444049      2       1  1740000     -0.37525      0.64626
GLRA3              4  175545367  175750465     34      13  1740000       1.3185     0.093671
ADAM29             4  175839509  175899331     26       8  1740000      -1.1622      0.87742
GPM6A              4  176554088  176923842      3       2  1740000    -0.097567      0.53886
WDR17              4  176986985  177103979     20      15  1740000       -1.034      0.84943
SPATA4             4  177105725  177116822      6       4  1740000        1.155      0.12404
ASB5               4  177134824  177198722      3       2  1740000       -1.212      0.88724
VEGFC              4  177604689  177713899      2       1  1740000      0.36453      0.35773
NEIL3              4  178230991  178284092      6       4  1740000     -0.15024      0.55971
AGA                4  178351928  178363657      8       5  1740000      0.35598      0.36093
TENM3              4  183065112  183724177     14      10  1740000      0.68094      0.24795
DCTD               4  183811244  183838630      1       1  1740000      -0.2147        0.585
WWC2               4  184020463  184241930     12       7  1740000      0.58389      0.27965
CLDN22             4  184239220  184241927      4       2  1740000     -0.34112      0.63349
CLDN24             4  184242917  184243579      4       2  1740000     -0.34112      0.63349
RWDD4              4  184560789  184580331      3       2  1740000       1.6839       0.0461
TRAPPC11           4  184580420  184634747     10       7  1740000       1.7151     0.043161
STOX2              4  184826509  184944679      4       2  1740000      0.89829      0.18452
ENPP6              4  185009859  185139114      2       1  1740000      0.16326      0.43516
IRF2               4  185308867  185395734      1       1  1740000       0.9717       0.1656
CASP3              4  185548850  185570629      2       1  1740000      0.59443      0.27611
PRIMPOL            4  185570767  185616112      7       4  1740000       1.9823     0.023721
CENPU              4  185615219  185655286      8       4  1740000        2.571    0.0050706
ACSL1              4  185676749  185747215      2       1  1740000     -0.85942      0.80495
HELT               4  185940001  185941958      1       1  1740000      0.78612       0.2159
CFAP97             4  186080815  186125182      4       2  1740000      0.42631      0.33494
SNX25              4  186130773  186285120      7       5  1740000       0.3733      0.35446
LRP2BP             4  186285032  186318297      7       5  1740000     -0.57961      0.71891
ANKRD37            4  186317840  186321529      3       2  1740000      0.23729      0.40621
UFSP2              4  186320691  186347139      5       3  1740000     -0.21643      0.58567
C4ORF47            4  186347220  186370982     15       7  1740000     0.020578      0.49179
CCDC110            4  186366336  186392913     14       6  1740000      0.21514      0.41483
PDLIM3             4  186421814  186456712      4       2  1740000     0.059565      0.47625
SORBS2             4  186506598  186877870      7       4  1740000    -0.054013      0.52154
TLR3               4  186990309  187006252      9       6  1740000     -0.84906      0.80208
FAM149A            4  187026054  187093817     16       9  1740000        0.577      0.28197
CYP4V2             4  187112565  187134617      9       6  1740000     -0.42398      0.66421
KLKB1              4  187148502  187179625     10       7  1740000       -0.721      0.76455
F11                4  187187099  187210835      6       4  1740000     -0.98519      0.83773
MTNR1A             4  187454809  187476537      7       5  1740000       -1.122      0.86907
FAT1               4  187508937  187647876     50      31  1740000      -1.6798       0.9535
ZFP42              4  188916925  188926199      4       2  1740000      0.76156      0.22316
TRIML2             4  189012427  189030416      5       3  1740000      0.82381      0.20502
TRIML1             4  189060598  189068649      3       2  1740000     0.086083       0.4657
PLEKHG4B           5     140373     190087     17      10  1740000      -1.0191      0.84591
LRRC14B            5     191626     195468      5       3  1740000     -0.18318      0.57267
CCDC127            5     204875     218333      6       4  1740000     -0.12104      0.54817
SDHA               5     218338     256815      2       1  1740000     -0.30087      0.61824
PDCD6              5     271736     315089      1       1  1740000     -0.59926       0.7255
AHRR               5     304291     438406     11       6  1740000      -0.6334      0.73676
EXOC3              5     443305     467414     11       7  1740000     -0.35543      0.63887
SLC9A3             5     473298     524549      6       4  1740000      0.43982      0.33003
CEP72              5     612405     655807     11       6  1740000      0.92507      0.17746
TPPP               5     659977     693510      2       1  1740000        1.495     0.067454
BRD9               5     863850     892939      2       1  1740000       1.0473      0.14748
TRIP13             5     892764     918164      2       1  1740000       1.0473      0.14748
NKD2               5    1008941    1038927      5       3  1740000       1.2271       0.1099
SLC12A7            5    1050489    1112172      9       6  1740000      0.28301      0.38858
SLC6A19            5    1201710    1225232      9       6  1740000       -1.261      0.89634
SLC6A18            5    1225470    1246304     13       9  1740000      -1.2635      0.89679
TERT               5    1253282    1295178      9       6  1740000       0.5518      0.29054
CLPTM1L            5    1317869    1345180      8       3  1740000       1.4781     0.069693
SLC6A3             5    1392905    1445543      4       2  1740000     -0.22247      0.58802
NDUFS6             5    1801496    1816165      1       1  1740000     -0.92455       0.8224
IRX4               5    1877541    1887293      4       2  1740000      0.64886      0.25821
IRX2               5    2746279    2751769      3       2  1740000      0.42161      0.33665
C5ORF38            5    2752058    2755511      3       2  1740000      0.42161      0.33665
ADAMTS16           5    5140443    5320412     14       8  1740000      0.66243      0.25385
ICE1               5    5422786    5490347     10       6  1740000       2.0143     0.021991
UBE2QL1            5    6437460    6496834      1       1  1740000      -1.3189       0.9064
NSUN2              5    6599352    6633473      3       2  1740000     -0.62735      0.73478
ADCY2              5    7396343    7830194     18      13  1740000      -1.0087      0.84344
C5ORF49            5    7830491    7851603      5       3  1740000      -1.3322       0.9086
MTRR               5    7851299    7901237     19      10  1740000      0.73663      0.23067
FASTKD3            5    7859272    7869150      7       4  1740000       0.7194      0.23595
SEMA5A             5    9035138    9546233     11       8  1740000      -1.2088      0.88664
TAS2R1             5    9629109    9630463      4       2  1740000       1.1638      0.12224
FAM173B            5   10225619   10250145      7       5  1740000     -0.91143      0.81897
CCT5               5   10250041   10266501      5       3  1740000     -0.15125      0.56011
CMBL               5   10277707   10308168      7       2  1740000     0.013058      0.49479
MARCH6             5   10353751   10440500      2       1  1740000     -0.24181      0.59554
ROPN1L             5   10441974   10465138      3       2  1740000     -0.93593      0.82535
ANKRD33B           5   10564435   10657928      1       1  1740000     -0.48201       0.6851
DAP                5   10679342   10761387      3       2  1740000      -0.3141      0.62328
CTNND2             5   10971952   11904155      7       5  1740000       1.3355      0.09086
DNAH5              5   13690437   14011841     45      26  1740000     -0.45561      0.67566
TRIO               5   14143817   14510313      7       4  1740000      -1.3084      0.90463
FAM105A            5   14581891   14616289      2       1  1740000      0.25643      0.39881
OTULIN             5   14664783   14699842      1       1  1740000       1.1922       0.1166
ANKH               5   14704909   14871887      2       1  1740000       4.5962   2.1509e-06
FBXL7              5   15500305   15939905      5       2  1740000     -0.48408      0.68584
MARCH11            5   16067474   16179897      2       1  1740000        1.085      0.13896
ZNF622             5   16451628   16465894      1       1  1740000      0.47134       0.3187
FAM134B            5   16472922   16617167      4       2  1740000      0.32871      0.37119
MYO10              5   16662016   16936385     16      11  1740000      -1.6337      0.94884
BASP1              5   17216932   17276954      2       1  1740000       0.2333      0.40777
CDH18              5   19473140   20575972      8       5  1740000      0.81494      0.20755
CDH12              5   21750870   22853731     12       7  1740000      -1.1119       0.8669
PRDM9              5   23507724   23528706      1       1  1740000      -1.3445       0.9106
CDH10              5   24487209   24645085      2       1  1740000     -0.72841      0.76682
CDH9               5   26880709   27038689      6       3  1740000      -1.0772      0.85931
CDH6               5   31193762   31329253      1       1  1740000    -0.040869       0.5163
DROSHA             5   31400601   31532282      7       5  1740000       1.1826      0.11848
C5ORF22            5   31532373   31555165      5       3  1740000       1.7172     0.042968
PDZD2              5   31639345   32111038     26      19  1740000     -0.23857      0.59428
MTMR12             5   32227111   32313114      6       4  1740000     -0.14217      0.55653
ZFR                5   32354456   32444844      1       1  1740000      0.87679       0.1903
SUB1               5   32585605   32604185      5       2  1740000      -1.3574      0.91268
NPR3               5   32710284   32791830      7       3  1740000     0.087103      0.46529
TARS               5   33440802   33468196      7       5  1740000        1.137      0.12776
ADAMTS12           5   33523640   33892319     13       8  1740000       1.4328     0.075957
RXFP3              5   33936491   33939023      3       2  1740000       -0.288      0.61333
SLC45A2            5   33944721   33984780      9       5  1740000     -0.19583      0.57763
AMACR              5   33987091   34008220      7       2  1740000      0.29086      0.38558
C1QTNF3            5   34017963   34043371      3       1  1740000      0.57026      0.28425
RAI14              5   34656342   34832717     11       7  1740000     -0.76392      0.77754
TTC23L             5   34839269   34899567      2       1  1740000     -0.38509      0.64992
RAD1               5   34905365   34915780      2       1  1740000     -0.66776      0.74786
BRIX1              5   34915820   34925787      2       1  1740000     -0.66776      0.74786
DNAJC21            5   34929698   34959069      5       3  1740000       1.2916      0.09824
AGXT2              5   34998206   35048293      9       5  1740000      0.71865      0.23618
PRLR               5   35048861   35230823      6       4  1740000     -0.60688      0.72803
SPEF2              5   35617900   35814713     21      13  1740000      -1.0954      0.86333
IL7R               5   35856977   35879705      7       4  1740000      -1.4212      0.92237
CAPSL              5   35904397   35938881      3       2  1740000      0.46362      0.32146
UGT3A1             5   35953191   36066639      4       2  1740000       0.5018       0.3079
UGT3A2             5   36035119   36067023      1       1  1740000     -0.25516       0.6007
LMBRD2             5   36103414   36152015      4       2  1740000      -0.3899      0.65169
SKP2               5   36152091   36184143      1       1  1740000      -1.2525       0.8948
NADK2              5   36192694   36242258      2       1  1740000       2.1813     0.014581
RANBP3L            5   36247950   36302011      4       2  1740000      0.35724      0.36046
SLC1A3             5   36606457   36688436      5       3  1740000       1.7191     0.042802
NIPBL              5   36876861   37065926      5       3  1740000       1.0181      0.15432
C5ORF42            5   37079423   37249530     18      12  1740000     -0.54945      0.70865
NUP155             5   37291735   37371228      3       2  1740000       0.6076      0.27173
WDR70              5   37379391   37752774      1       1  1740000     -0.55631        0.711
GDNF               5   37812779   37839782      2       1  1740000      0.14384      0.44281
EGFLAM             5   38258511   38465582     17      10  1740000     -0.81845      0.79345
LIFR               5   38475065   38595507     10       5  1740000       1.4609     0.072017
OSMR               5   38845960   38935743     15      10  1740000      0.83445      0.20201
RICTOR             5   38938022   39074505     12       9  1740000      0.40656      0.34216
FYB                5   39105354   39270759      9       5  1740000       1.4503     0.073481
C9                 5   39284377   39364655     10       6  1740000     -0.75607       0.7752
DAB2               5   39371776   39425335      8       5  1740000      0.28058      0.38952
PTGER4             5   40680032   40696962      2       1  1740000     -0.50721        0.694
TTC33              5   40711678   40756072      3       2  1740000       1.1906       0.1169
PRKAA1             5   40759481   40798297      2       1  1740000       1.5762     0.057493
RPL37              5   40831430   40835387      5       3  1740000     -0.45944      0.67704
CARD6              5   40841410   40855456      8       5  1740000     -0.29567      0.61626
C7                 5   40909599   40983041      9       6  1740000      -2.0919      0.98178
MROH2B             5   40998122   41071444     23      13  1740000     -0.27127      0.60691
C6                 5   41142248   41261588     11       8  1740000      0.68112       0.2479
PLCXD3             5   41307048   41510730      2       1  1740000     -0.25723       0.6015
OXCT1              5   41730167   41870791      1       1  1740000     -0.40211       0.6562
C5ORF51            5   41904423   41921738      3       2  1740000      0.23001      0.40904
FBXO4              5   41925352   41941672      2       1  1740000      -1.5418      0.93844
GHR                5   42423577   42721980     10       6  1740000      0.87272      0.19141
CCDC152            5   42756920   42802539      8       5  1740000     -0.23692      0.59364
SEPP1              5   42799982   42812024      7       4  1740000     -0.35688      0.63941
ANXA2R             5   43039182   43040447      2       1  1740000      -1.2506      0.89447
ZNF131             5   43120985   43176351      2       1  1740000       1.1785       0.1193
NIM1K              5   43192170   43280952      2       1  1740000       1.5088      0.06567
HMGCS1             5   43287572   43313614      2       1  1740000      0.55949      0.28791
C5ORF28            5   43444354   43484171      2       1  1740000      0.72042      0.23563
C5ORF34            5   43486803   43515273      3       2  1740000     -0.40395      0.65688
NNT                5   43602791   43705668      6       3  1740000      -1.4221      0.92251
FGF10              5   44305004   44389808      1       1  1740000      0.71534       0.2372
MRPS30             5   44809027   44815616      4       2  1740000       0.5369      0.29567
HCN1               5   45255052   45696220      3       2  1740000       2.5727    0.0050461
EMB                5   49692026   49737234      1       1  1740000     -0.57543       0.7175
PARP8              5   49961733   50142356      1       1  1740000      -2.3535       0.9907
ISL1               5   50678958   50690564      1       1  1740000       0.9725       0.1654
PELO               5   52083774   52098451      2       1  1740000       1.4027     0.080357
ITGA1              5   52084136   52249485     22      11  1740000     -0.10689      0.54256
ITGA2              5   52285156   52390609      8       5  1740000     -0.47008      0.68085
MOCS2              5   52391509   52405602      5       3  1740000      0.30788      0.37909
FST                5   52776183   52782964      2       1  1740000       0.9653       0.1672
NDUFS4             5   52856464   52979171      1       1  1740000     -0.40048       0.6556
ARL15              5   53180578   53606403     10       5  1740000       4.6598   1.5827e-06
HSPB3              5   53751431   53752214      1       1  1740000     -0.93149       0.8242
SNX18              5   53813589   53842416      3       2  1740000     -0.16221      0.56443
ESM1               5   54273695   54281414      2       1  1740000     -0.89317      0.81412
GZMK               5   54320107   54329960      1       1  1740000      0.45849       0.3233
GZMA               5   54398474   54406080      5       3  1740000       1.1419      0.12675
CDC20B             5   54408799   54469005      9       6  1740000       1.7485     0.040185
GPX8               5   54455984   54463129      2       1  1740000       1.4525     0.073185
MCIDAS             5   54515425   54523143      3       2  1740000      -1.5077      0.93419
CCNO               5   54526980   54529508      2       1  1740000     -0.81098      0.79131
DHX29              5   54552073   54603521      3       2  1740000      0.60669      0.27203
SKIV2L2            5   54603576   54721409      1       1  1740000       1.5886      0.05607
PPAP2A             5   54720670   54830906      1       1  1740000      0.16645       0.4339
SLC38A9            5   54921673   55008163      7       3  1740000       2.4883    0.0064176
DDX4               5   55033845   55112975      5       3  1740000      -1.4212      0.92237
IL31RA             5   55147207   55218682      6       4  1740000      0.50347      0.30732
IL6ST              5   55230923   55290821      9       6  1740000      0.90853       0.1818
ANKRD55            5   55395507   55529186      9       6  1740000     -0.05326      0.52124
C5ORF67            5   55809692   55830983      1       1  1740000       7.7018    6.707e-15
MAP3K1             5   56110900   56191979      6       3  1740000       3.0189    0.0012686
SETD9              5   56205087   56221359      5       3  1740000       1.8603     0.031425
MIER3              5   56215429   56247957      5       3  1740000       1.8603     0.031425
GPBP1              5   56469676   56560506      3       2  1740000      0.60799       0.2716
ACTBL2             5   56775843   56778636      4       2  1740000      -1.6424      0.94974
GAPT               5   57787262   57792185      2       1  1740000    -0.057593      0.52296
RAB3C              5   57877950   58155221      4       2  1740000        1.066       0.1432
PDE4D              5   58264865   59783925     45      19  1740000     0.033815      0.48651
DEPDC1B            5   59892739   59995993      2       1  1740000    -0.055047      0.52195
ELOVL7             5   60047616   60140101      1       1  1740000      -1.6986       0.9553
ERCC8              5   60169659   60240905      2       1  1740000       -1.571      0.94191
ZSWIM6             5   60628100   60841999      3       2  1740000      -1.6183       0.9472
C5ORF64            5   60933636   61002362      6       3  1740000     -0.21622      0.58559
KIF2A              5   61601989   61683011      4       2  1740000       1.1449      0.12613
DIMT1              5   61684351   61699728      2       1  1740000     -0.11991      0.54772
IPO11              5   61699522   61924416      4       2  1740000      0.75647      0.22468
LRRC70             5   61874562   61877275      1       1  1740000        1.596      0.05524
HTR1A              5   63255875   63258119      4       2  1740000     -0.39894      0.65503
RNF180             5   63461671   63668704      3       2  1740000     -0.56372      0.71353
RGS7BP             5   63801774   63909285      5       2  1740000       1.6386     0.050653
FAM159B            5   63986135   64014017      4       2  1740000     -0.58419      0.72045
SREK1IP1           5   64013975   64064496      1       1  1740000     -0.15046       0.5598
CWC27              5   64064755   64314590      1       1  1740000       1.1302       0.1292
ADAMTS6            5   64444563   64777704      6       4  1740000      -1.4097      0.92068
CENPK              5   64813593   64858995      4       2  1740000      0.56348      0.28655
PPWD1              5   64859063   64883376      3       2  1740000       1.1783      0.11934
TRIM23             5   64885507   64920187      2       1  1740000     0.039807      0.48412
TRAPPC13           5   64920558   64961954      3       2  1740000     -0.97093      0.83421
SGTB               5   64961755   65018648      4       2  1740000     -0.91003       0.8186
NLN                5   65018023   65125111      4       2  1740000     0.030521      0.48783
ERBB2IP            5   65222382   65376851      6       4  1740000        0.354      0.36167
SREK1              5   65440046   65479444      2       1  1740000     -0.17193      0.56826
MAST4              5   65892176   66465426     12       8  1740000         1.44     0.074928
CD180              5   66477205   66492617      6       3  1740000      0.22988      0.40909
PIK3R1             5   67511584   67597649      2       1  1740000     -0.34307      0.63423
SLC30A5            5   68389776   68426899      4       2  1740000      0.50692      0.30611
CCNB1              5   68462837   68474072      1       1  1740000      0.49982       0.3086
CENPH              5   68485375   68506184      1       1  1740000      0.33636       0.3683
MRPS36             5   68513573   68525985      1       1  1740000      0.45988       0.3228
CDK7               5   68530622   68573257      3       2  1740000       1.9796     0.023876
CCDC125            5   68576519   68628623      5       3  1740000       1.3118     0.094796
TAF9               5   68647551   68665840      2       1  1740000       0.7718      0.22012
RAD17              5   68665124   68710628     10       7  1740000      -1.3733      0.91517
MARVELD2           5   68710939   68738701      6       4  1740000      -1.7872      0.96305
OCLN               5   68788119   68853931      3       2  1740000      -1.1208       0.8688
NAIP               5   70264310   70320941      2       1  1740000       1.4959     0.067344
BDP1               5   70751442   70863649     26      14  1740000      -1.3767       0.9157
MCCC2              5   70883115   70954533      3       2  1740000      0.14358      0.44292
CARTPT             5   71014990   71016875      2       1  1740000      0.84679      0.19856
MAP1B              5   71403118   71505397      9       6  1740000       1.7316      0.04167
MRPS27             5   71515236   71616084      5       3  1740000         1.57     0.058205
PTCD2              5   71616200   71656544      1       1  1740000      -1.8564       0.9683
ZNF366             5   71738238   71803249      4       2  1740000       1.0849      0.13898
FCHO2              5   72251808   72386349      3       2  1740000     -0.67379      0.74978
TMEM171            5   72410286   72427765      5       2  1740000     -0.36869      0.64382
TMEM174            5   72464080   72471073      1       1  1740000    -0.018049       0.5072
FOXD1              5   72742083   72744352      1       1  1740000      0.08558       0.4659
BTF3               5   72794250   72801448      1       1  1740000      0.45348       0.3251
ANKRA2             5   72848025   72861521      1       1  1740000     -0.15553       0.5618
UTP15              5   72861568   72878984      2       1  1740000     -0.64263      0.73977
ARHGEF28           5   72921983   73237818     23      14  1740000     -0.79044      0.78536
HEXB               5   73935547   74017113     11       7  1740000      0.32183      0.37379
GFM2               5   74017029   74063196     12       6  1740000       0.6354      0.26259
NSA2               5   74062816   74072737      5       3  1740000     -0.61813      0.73175
FAM169A            5   74073399   74163832      4       2  1740000      0.35494      0.36132
GCNT4              5   74323246   74350743      4       2  1740000      0.16616      0.43401
ANKRD31            5   74364122   74532703     14       8  1740000       0.4459      0.32783
HMGCR              5   74632159   74657926      7       2  1740000       1.1247      0.13035
COL4A3BP           5   74666928   74807806      2       1  1740000       1.2276       0.1098
POLK               5   74807657   74895646      6       4  1740000      0.41698      0.33835
ANKDD1B            5   74907301   74967671      2       1  1740000       2.9646    0.0015155
POC5               5   74970023   75013313     10       5  1740000       3.8797   5.2301e-05
SV2C               5   75378997   75649764      8       4  1740000      -0.1676      0.56655
IQGAP2             5   75699131   76003957     22      12  1740000      -1.0378      0.85032
F2RL2              5   75911307   75919259      8       5  1740000      -1.6567      0.95121
F2R                5   76011868   76031595      2       1  1740000      -0.4723      0.68164
F2RL1              5   76114833   76131140      2       1  1740000       0.2911      0.38549
S100Z              5   76145826   76217056      2       1  1740000      0.28914      0.38624
AGGF1              5   76326210   76361059      5       3  1740000      -1.3145      0.90565
ZBED3              5   76372532   76383030      1       1  1740000       1.0416       0.1488
PDE8B              5   76476082   76724081      5       3  1740000        1.625     0.052076
WDR41              5   76727622   76788332      7       4  1740000       1.3843     0.083129
OTP                5   76924537   76934522      2       1  1740000      0.37269      0.35469
TBCA               5   76986995   77072185      2       1  1740000      0.15307      0.43917
AP3B1              5   77298150   77590579      8       5  1740000     -0.82051      0.79404
SCAMP1             5   77656339   77776562      4       2  1740000     -0.35039      0.63698
LHFPL2             5   77781038   77944648      4       2  1740000    -0.016682      0.50665
ARSB               5   78073032   78282357      7       4  1740000      0.63269      0.26347
DMGDH              5   78293387   78365497     10       6  1740000       1.1749      0.12002
BHMT2              5   78365547   78385897      1       1  1740000      0.75375       0.2255
BHMT               5   78407604   78428113      3       2  1740000       2.2145     0.013396
JMY                5   78531925   78623038      4       2  1740000       2.3097     0.010452
HOMER1             5   78669647   78809659      2       1  1740000      0.74883      0.22698
PAPD4              5   78908243   78982471      2       1  1740000      -1.3146      0.90567
CMYA5              5   78985659   79096049     61      19  1740000     -0.33529       0.6313
MTX3               5   79272539   79287088      2       1  1740000       0.1517      0.43971
THBS4              5   79331170   79379111      9       6  1740000      0.93552      0.17476
SERINC5            5   79407050   79551898      1       1  1740000      0.75775       0.2243
SPZ1               5   79615790   79617661      4       2  1740000      0.26842      0.39419
ZFYVE16            5   79703386   79775498      9       4  1740000       -1.256      0.89545
FAM151B            5   79783800   79838382      2       1  1740000    -0.089358       0.5356
ANKRD34B           5   79852574   79866304      6       4  1740000       1.8898     0.029394
DHFR               5   79922045   79950800      1       1  1740000      0.69892       0.2423
MTRNR2L2           5   79945819   79946854      1       1  1740000      0.69892       0.2423
MSH3               5   79950467   80172634      8       5  1740000     -0.48261      0.68531
RASGRF2            5   80256491   80525981      3       2  1740000      0.21164       0.4162
CKMT2              5   80528605   80562217      1       1  1740000     0.061451       0.4755
ZCCHC9             5   80597402   80608966      1       1  1740000       1.2233       0.1106
ACOT12             5   80625731   80689988      6       4  1740000     -0.46642      0.67954
SSBP2              5   80713179   81047072      2       1  1740000     -0.13793      0.55485
ATG10              5   81267844   81551958      3       1  1740000     -0.53093      0.70227
ATP6AP1L           5   81601166   81614147      4       2  1740000     0.045856      0.48171
XRCC4              5   82373317   82649579      9       6  1740000      0.12942      0.44851
VCAN               5   82767493   82878122     23      14  1740000      0.79404      0.21358
HAPLN1             5   82934017   83016896      4       2  1740000       -1.599      0.94509
EDIL3              5   83236414   83680685      7       5  1740000       -1.257      0.89562
RASA1              5   86564070   86687743      4       2  1740000       0.8491      0.19791
CCNH               5   86687310   86708850      5       3  1740000      0.89414      0.18562
TMEM161B           5   87485450   87564665      3       2  1740000    -0.066383      0.52646
MEF2C              5   88014058   88199922      2       1  1740000     -0.13418      0.55337
CETN3              5   89689528   89705611      1       1  1740000      0.59208       0.2769
MBLAC2             5   89754020   89770585      1       1  1740000    -0.083819       0.5334
POLR3G             5   89769876   89810474      4       2  1740000      0.96588      0.16705
LYSMD3             5   89811443   89825401      3       2  1740000     0.025482      0.48984
ADGRV1             5   89854617   90460254     65      40  1740000     -0.35629      0.63919
ARRDC3             5   90664541   90679149      1       1  1740000     -0.84663       0.8014
FAM172A            5   92953431   93447404      3       2  1740000      -1.4957      0.93264
KIAA0825           5   93486556   93954309     11       8  1740000      0.25523      0.39927
ANKRD32            5   93953086   94033326      3       2  1740000      -0.9808      0.83666
MCTP1              5   94038280   94620279      6       4  1740000       1.8286     0.033728
FAM81B             5   94727048   94786145      9       6  1740000      0.88175      0.18896
TTC37              5   94799599   94890709      9       5  1740000     -0.61357      0.73025
ARSK               5   94890825   94940806      6       4  1740000      0.66063      0.25443
GPR150             5   94955980   94957284      1       1  1740000     -0.14413       0.5573
RFESD              5   94982471   94992849      3       2  1740000       1.0662      0.14318
SPATA9             5   94987885   95018885      4       2  1740000      0.66104      0.25429
RHOBTB3            5   95049181   95132071      3       2  1740000       2.5476    0.0054232
ELL2               5   95220802   95297775      5       3  1740000     -0.79923      0.78792
PCSK1              5   95726040   95768985      6       3  1740000       2.6551    0.0039644
CAST               5   95997741   96110387     12       6  1740000      0.63084      0.26407
ERAP1              5   96096514   96149848     19       8  1740000      0.53105      0.29769
ERAP2              5   96211644   96255420     11       4  1740000      0.88873      0.18707
LNPEP              5   96271346   96365115      5       3  1740000      0.74999      0.22663
LIX1               5   96427574   96478520      2       1  1740000      0.37181      0.35502
RIOK2              5   96496571   96519005      7       4  1740000      0.59174      0.27701
RGMB               5   98104999   98132198      2       1  1740000    -0.014623      0.50583
CHD1               5   98189689   98264522      8       6  1740000     -0.54803      0.70816
FAM174A            5   99871051   99922440      3       2  1740000       1.5529     0.060229
ST8SIA4            5  100142639  100238989      1       1  1740000      -1.0572       0.8548
SLCO4C1            5  101569690  101632253      4       2  1740000   -0.0082201      0.50328
SLCO6A1            5  101707492  101834720      4       2  1740000    -0.057691        0.523
